,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc
mean,0.9996217494089835,0.9992957746478874,1.0,0.9991836734693879,0.9996477322765301,0.9995918367346939,0.999239722093227,0.9999998201923941,0.9999998448842836
std,0.00021144850851061872,0.0003936739397006791,0.0,0.00045634040357139116,0.00019692364398943686,0.0002281702017857204,0.00042500827033395574,4.020620295995345e-07,3.468492860238888e-07
