,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc
mean,0.9992434988179669,0.999295619532171,0.9992951541850221,0.9991836734693879,0.9992951539797522,0.9992394138272049,0.998479368873484,0.999983277892655,0.9999852579096388
std,0.0005390900355078674,0.0007365429321261449,0.0007371453978273665,0.0008537347209531485,0.0005021951838220481,0.0005436778707029107,0.0010837943073690281,3.6394942737978764e-05,3.2103844219206065e-05
