run,seed,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc
1,42,0.9985815602836879,0.9982394366197183,0.9991189427312775,0.9979591836734694,0.9986789960369881,0.9985390632023734,0.9971480538303192,0.9999181875393329,0.9999278413886857
2,123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,2024,0.9990543735224586,0.9991189427312775,0.9991189427312775,0.9989795918367347,0.9991189427312775,0.9990492672840061,0.9980985345680122,0.9999982019239414,0.9999984481595076
4,7,0.9990543735224586,1.0,0.9982378854625551,1.0,0.9991181657848325,0.9991189427312775,0.9981006033525545,1.0,0.9999999999999999
5,99,0.9995271867612293,0.9991197183098591,1.0,0.9989795918367347,0.9995596653456627,0.9994897959183673,0.9990496526165337,1.0,1.0
