run,seed,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc
1,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,123,0.9990543735224586,0.9982409850483729,1.0,0.9979591836734694,0.9991197183098591,0.9989795918367347,0.9981000744155238,0.9999964038478828,0.9999968935808747
3,2024,0.9995271867612293,0.9991197183098591,1.0,0.9989795918367347,0.9995596653456627,0.9994897959183673,0.9990496526165337,1.0,1.0
4,7,0.9995271867612293,0.9991197183098591,1.0,0.9989795918367347,0.9995596653456627,0.9994897959183673,0.9990496526165337,0.9999991009619706,0.9999992244214183
5,99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
