,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc
mean,0.9996217494089834,0.9992960843336182,1.0,0.9991836734693876,0.9996478098002368,0.9995918367346939,0.9992398759297181,0.9999991009619705,0.9999992236004586
std,0.00039558393689554457,0.0007359414007164242,0.0,0.0008537347209531485,0.0003682714303242054,0.00042686736047658087,0.0007948418889881647,1.5571795446852027e-06,1.3451190169140451e-06
