,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc
mean,0.9995271867612294,0.9991197183098592,1.0,0.9989795918367348,0.9995596653456627,0.9994897959183673,0.9990496526165338,0.9999998201923941,0.9999998448842836
std,1.2412670766236366e-16,1.2412670766236366e-16,0.0,1.2412670766236366e-16,0.0,0.0,1.2412670766236366e-16,4.0206202959953457e-07,3.4684928604871415e-07
